tick,utc_us,local_x,local_y,local_z,slip_m,bus_support,bus_x,bus_y,bus_z,snapshots_received,source_s,playback_s,bus_write_m
7831,1789597232977000,-0.115169525,-0.594089508,1.452407837,0.033732973,1,32.682849884,1.579275846,46.436256409,0,133.083333333,0.000000000,0.000000000
7832,1789597232995000,-0.113834381,-0.593771935,1.418724060,0.033711724,1,32.655036926,1.538523912,46.672519684,0,133.100000000,0.000000000,0.000000000
7833,1789597233007000,-0.112483978,-0.594328880,1.385059357,0.033696380,1,32.626846313,1.495815039,46.907978058,0,133.116666667,0.000000000,0.000000000
7834,1789597233026000,-0.111091614,-0.594868660,1.351402283,0.033690188,1,32.598285675,1.451122165,47.142612457,0,133.133333333,0.000000000,0.000000000
7835,1789597233044000,-0.109920502,-0.595456123,1.317783356,0.033644449,1,32.570484161,1.407193780,47.373691559,0,133.150000000,0.000000000,0.000000000
7836,1789597233062000,-0.108722687,-0.596033573,1.284225464,0.033584226,1,32.542823792,1.362394810,47.604301453,0,133.166666667,0.000000000,0.000000000
7837,1789597233074000,-0.107589722,-0.596563339,1.250686646,0.033562131,1,32.516284943,1.318602562,47.835781097,0,133.183333333,0.000000000,0.000000000
7838,1789597233093000,-0.106502533,-0.597003460,1.217109680,0.033597443,1,32.490222931,1.277853489,48.068988800,0,133.200000000,0.000000000,0.000000000
7839,1789597233110000,-0.105457306,-0.597370148,1.183494568,0.033633359,1,32.464546204,1.240267038,48.303916931,0,133.216666667,0.000000000,0.000000000
7840,1789597233129000,-0.104431152,-0.597667217,1.149864197,0.033647332,1,32.439167023,1.205876231,48.540531158,0,133.233333333,0.000000000,0.000000000
7841,1789597233141000,-0.103427887,-0.597915649,1.116233826,0.033646248,1,32.414009094,1.174638510,48.778774261,0,133.250000000,0.000000000,0.000000000
7842,1789597233159000,-0.102600098,-0.598061085,1.082508087,0.033736210,1,32.390483856,1.149933100,49.017547607,0,133.266666667,0.000000000,0.000000000
7843,1789597233177000,-0.101810455,-0.598166943,1.048774719,0.033742774,1,32.367477417,1.128994226,49.256931305,0,133.283333333,0.000000000,0.000000000
7844,1789597233196000,-0.100978851,-0.598263264,1.015064240,0.033720873,1,32.344276428,1.110039234,49.497074127,0,133.300000000,0.000000000,0.000000000
7845,1789597233208000,-0.100128174,-0.598352194,0.981365204,0.033709887,1,32.320812225,1.092842102,49.737922668,0,133.316666667,0.000000000,0.000000000
7846,1789597233226000,-0.099246979,-0.598435640,0.947685242,0.033691593,1,32.297042847,1.077166319,49.979431152,0,133.333333333,0.000000000,0.000000000
7847,1789597233244000,-0.098350525,-0.598512650,0.914016724,0.033680536,1,32.272933960,1.062771201,50.221565247,0,133.350000000,0.000000000,0.000000000
7848,1789597233262000,-0.097450256,-0.598585606,0.880382538,0.033646312,1,32.248470306,1.049418330,50.464294434,0,133.366666667,0.000000000,0.000000000
7849,1789597233275000,-0.096534729,-0.598653555,0.846778870,0.033616208,1,32.223648071,1.036875844,50.707603455,0,133.383333333,0.000000000,0.000000000
7850,1789597233292000,-0.095626831,-0.598716974,0.813213348,0.033577856,1,32.198463440,1.024922371,50.951477051,0,133.400000000,0.000000000,0.000000000
7851,1789597233311000,-0.094684601,-0.598763466,0.779682159,0.033544458,1,32.172924042,1.013350964,51.195899963,0,133.416666667,0.000000000,0.000000000
7852,1789597233328000,-0.093746185,-0.598814964,0.746196747,0.033498596,1,32.147037506,1.001971722,51.440864563,0,133.433333333,0.000000000,0.000000000
7853,1789597233341000,-0.092800140,-0.598858595,0.712764740,0.033445418,1,32.120819092,0.990613103,51.686374664,0,133.450000000,0.000000000,0.000000000
7854,1789597233359000,-0.091854095,-0.598894119,0.679386139,0.033392023,1,32.094284058,0.979124069,51.932422638,0,133.466666667,0.000000000,0.000000000
7855,1789597233377000,-0.090892792,-0.598921061,0.646057129,0.033342879,1,32.067359924,0.967587829,52.178939819,0,133.483333333,0.000000000,0.000000000
7856,1789597233395000,-0.089916229,-0.598939061,0.612796783,0.033274684,1,32.040096283,0.955816507,52.425922394,0,133.500000000,0.000000000,0.000000000
7857,1789597233408000,-0.088912964,-0.598951340,0.579578400,0.033233531,1,32.012134552,0.944655359,52.673637390,0,133.516666667,0.000000000,0.000000000
7858,1789597233426000,-0.087898254,-0.598956347,0.546379089,0.033214815,1,31.983800888,0.935541987,52.922508240,0,133.533333333,0.000000000,0.000000000
7859,1789597233444000,-0.086879730,-0.598958433,0.513183594,0.033211116,1,31.955226898,0.928584337,53.172561646,0,133.550000000,0.000000000,0.000000000
7860,1789597233462000,-0.085865021,-0.598959684,0.479991913,0.033207189,1,31.926462173,0.923649848,53.423732758,0,133.566666667,0.000000000,0.000000000
7861,1789597233474000,-0.084850311,-0.598962128,0.446815491,0.033191938,1,31.897552490,0.920577645,53.675956726,0,133.583333333,0.000000000,0.000000000
7862,1789597233493000,-0.083827972,-0.598965585,0.413627625,0.033203609,1,31.868537903,0.919186175,53.929157257,0,133.600000000,0.000000000,0.000000000
7863,1789597233510000,-0.082813263,-0.598970652,0.380443573,0.033199564,1,31.839448929,0.919279814,54.183254242,0,133.616666667,0.000000000,0.000000000
7864,1789597233528000,-0.081798553,-0.598976612,0.347251892,0.033207189,1,31.810317993,0.920655847,54.438175201,0,133.633333333,0.000000000,0.000000000
