tick,local_x,local_y,local_z,on_floor,bus_support,inside_hull,velocity_x,velocity_y,velocity_z,platform_speed,jump_command,walk_dx,walk_dy,walk_dz
936,-0.001398087,-0.598506331,-0.566223145,1,1,1,-0.013252020,0.000000000,1.998947740,15.137063026,0,0.000021942,-0.001057749,-0.033299729
937,-0.001373291,-0.598207831,-0.599372864,1,1,1,-0.013164924,0.000000000,1.999473333,15.127409935,0,0.000021533,-0.000732599,-0.033317219
938,-0.001344681,-0.597952843,-0.632595062,1,1,1,-0.013080337,0.000000000,1.999813557,15.118941307,0,0.000021134,-0.000399153,-0.033328548
939,-0.001317978,-0.597760558,-0.665912628,1,1,1,-0.012997673,0.000000000,1.999954820,15.111309052,0,0.000020748,-0.000056390,-0.033333231
940,-0.001293182,-0.597636938,-0.699295044,1,1,1,-0.012923636,0.000000000,1.999879003,15.104351044,0,0.000020503,0.000296767,-0.033330686
941,-0.001268387,-0.597338200,-0.732673645,1,1,1,-0.012851708,0.000000000,1.999572396,15.097658157,0,0.000020285,0.000655248,-0.033320446
942,-0.001239777,-0.596882820,-0.766094208,1,1,1,-0.012785129,0.000000000,1.999031305,15.096714973,0,0.000020133,0.001014682,-0.033302408
943,-0.001220703,-0.596436977,-0.800018311,1,1,1,-0.012728138,0.000000000,1.998259187,15.097735405,0,0.000020211,0.001373045,-0.033276673
944,-0.001199722,-0.595941782,-0.833965302,1,1,1,-0.012677221,0.000000000,1.997256637,15.072870255,0,0.000020458,0.001730175,-0.033243284
945,-0.001178741,-0.595409393,-0.867942810,1,1,1,-0.012626334,0.000000000,1.996024728,15.049831390,0,0.000020773,0.002085910,-0.033202287
946,-0.001161575,-0.594834328,-0.901939392,1,1,1,-0.012581467,0.000000000,1.994565606,15.028830528,0,0.000021256,0.002440093,-0.033153743
947,-0.001138687,-0.594221592,-0.935939789,1,1,1,-0.012536651,0.000000000,1.992879748,15.009431839,0,0.000021805,0.002792565,-0.033097714
948,-0.001117706,-0.593569756,-0.969947815,1,1,1,-0.012489683,0.000000000,1.990968585,14.992078781,0,0.000022383,0.003143171,-0.033034258
949,-0.001094818,-0.592882156,-1.003936768,1,1,1,-0.012442464,0.000000000,1.988833785,14.976535797,0,0.000023021,0.003491761,-0.032963451
950,-0.001079559,-0.592155933,-1.037925720,1,1,1,-0.012405816,0.000000000,1.986476541,14.962818146,0,0.000023898,0.003838184,-0.032885361
951,-0.001050949,-0.591397285,-1.071884155,1,1,1,-0.012360192,0.000000000,1.983898401,14.950893402,0,0.000024687,0.004182290,-0.032800049
952,-0.001029968,-0.590602875,-1.105819702,1,1,1,-0.012318565,0.000000000,1.981100917,14.940994263,0,0.000025603,0.004523936,-0.032707598
953,-0.001008987,-0.590358734,-1.139720917,1,1,1,-0.012281077,0.000000000,1.978085399,14.932860374,0,0.000026647,0.004862977,-0.032608088
954,-0.000988007,-0.589760780,-1.173576355,1,1,1,-0.012245518,0.000000000,1.974852681,14.926282883,0,0.000027782,0.005199273,-0.032501597
955,-0.000963211,-0.588782310,-1.207378387,1,1,1,-0.012207014,0.000000000,1.971404672,14.921706200,0,0.000028925,0.005532684,-0.032388207
956,-0.000944138,-0.587520599,-1.241130829,1,1,1,-0.012172691,0.000000000,1.967743397,14.919110298,0,0.000030193,0.005863077,-0.032268003
957,-0.000921249,-0.586843491,-1.274814606,1,1,1,-0.012140172,0.000000000,1.963869810,14.918047905,0,0.000031546,0.006190315,-0.032141071
958,-0.000900269,-0.585830688,-1.308422089,1,1,1,-0.012109461,0.000000000,1.959784627,14.918721199,0,0.000032982,0.006514269,-0.032007515
959,-0.000875473,-0.584486961,-1.341953278,1,1,1,-0.012077888,0.000000000,1.955490947,14.921352386,0,0.000034456,0.006834812,-0.031867407
960,-0.000858307,-0.587021828,-1.375156403,1,1,1,-0.012055720,0.000000000,1.951532125,14.925700188,0,0.000035351,0.007114562,-0.031738501
961,-0.000848770,-0.591933250,-1.408710480,1,1,1,-0.012068131,0.000000000,1.948119879,14.941217422,0,0.000036254,0.007344843,-0.031627629
962,-0.000827789,-0.595234871,-1.441848755,1,1,1,-0.012092955,0.000000000,1.945333362,14.956759453,0,0.000036811,0.007526210,-0.031537216
963,-0.000806808,-0.599912643,-1.475315094,1,1,1,-0.012101989,0.000000000,1.943220615,14.977136612,0,0.000036578,0.007659951,-0.031468768
964,-0.000785828,-0.602893829,-1.508350372,1,1,1,-0.012120081,0.000000000,1.941805601,15.002028465,0,0.000036007,0.007747889,-0.031422935
965,-0.000360489,-0.607713699,-1.542572021,1,1,1,-0.011021202,0.000000000,1.941417694,15.031254768,0,0.000019095,0.007772114,-0.031410202
966,-0.000986099,-0.612916946,-1.577308655,1,1,1,-0.011573642,0.000000000,1.942109823,14.999629021,0,0.000024438,0.007729281,-0.031432699
967,-0.000888824,-0.614366531,-1.610240936,1,1,1,-0.012736807,0.000000000,1.943277478,14.944754601,0,0.000040342,0.007656178,-0.031470720
968,-0.000810623,-0.613678932,-1.643203735,1,1,1,-0.012693034,0.000000000,1.944880724,14.980456352,0,0.000036368,0.007554893,-0.031522669
969,-0.000745773,-0.614902496,-1.676174164,1,1,1,-0.012677171,0.000000000,1.946859479,15.015298843,0,0.000032995,0.007427371,-0.031586841
970,-0.000852585,-0.626898766,-1.719093323,1,1,1,-0.013143657,0.000000000,1.951013327,15.048834801,0,0.000034955,0.007149709,-0.031721856
971,-0.000770569,-0.624459267,-1.753215790,1,1,1,-0.013584304,0.000000000,1.955183625,14.585336685,0,0.000036905,0.006856326,-0.031857718
972,-0.000713348,-0.622257233,-1.787471771,1,1,1,-0.013658814,0.000000000,1.959348202,14.544077873,0,0.000032941,0.006546976,-0.031993587
973,-0.000669479,-0.620002747,-1.821807861,1,1,1,-0.013789072,0.000000000,1.963477015,14.497850418,0,0.000029971,0.006221441,-0.032128587
974,-0.000637054,-0.616638184,-1.856220245,1,1,1,-0.013962431,0.000000000,1.967542768,14.450515747,0,0.000027689,0.005879527,-0.032261811
975,-0.000644684,-0.614006042,-1.890079498,1,1,1,-0.014257682,0.000000000,1.971513510,14.402039528,0,0.000026808,0.005521262,-0.032392230
976,-0.000612259,-0.613502502,-1.923892975,1,1,1,-0.014558507,0.000000000,1.975535393,14.388709068,0,0.000025866,0.005128726,-0.032524586
977,-0.000595093,-0.612816334,-1.957775116,1,1,1,-0.014796047,0.000000000,1.979533434,14.389475822,0,0.000023676,0.004701616,-0.032656424
978,-0.000581741,-0.611893177,-1.991722107,1,1,1,-0.015077276,0.000000000,1.983423233,14.386005402,0,0.000022003,0.004240097,-0.032784950
979,-0.000560760,-0.610515594,-2.025199890,1,1,1,-0.015287323,0.000000000,1.986862779,14.377436638,0,0.000020509,0.003780944,-0.032898799
980,-0.000547409,-0.609008312,-2.058578491,1,1,1,-0.015425740,0.000000000,1.989644647,14.395720482,0,0.000019110,0.003360512,-0.032991018
981,-0.000530243,-0.607730389,-2.091857910,1,1,1,-0.015538223,0.000000000,1.991871595,14.420208931,0,0.000018282,0.002978972,-0.033064943
982,-0.000528336,-0.606696129,-2.125049591,1,1,1,-0.015677584,0.000000000,1.993639708,14.450521469,0,0.000018674,0.002635093,-0.033123698
983,-0.000524521,-0.605889559,-2.158149719,1,1,1,-0.015809176,0.000000000,1.995035648,14.485733032,0,0.000019522,0.002326553,-0.033170145
984,-0.000802994,-0.600730896,-2.196968079,1,1,1,-0.017157283,0.000000000,1.995464325,14.525016785,0,0.000038641,0.002220414,-0.033184744
985,-0.000682831,-0.602656126,-2.230110168,1,1,1,-0.018202407,0.000000000,1.995893836,14.217717171,0,0.000053963,0.002109002,-0.033199314
986,-0.000625610,-0.604502439,-2.263179779,1,1,1,-0.017927997,0.000000000,1.996345758,14.255300522,0,0.000047707,0.001988323,-0.033214275
987,-0.000585556,-0.606123209,-2.296230316,1,1,1,-0.017946061,0.000000000,1.996802211,14.297976494,0,0.000046588,0.001857454,-0.033229478
988,-0.000553131,-0.607476234,-2.329261780,1,1,1,-0.018001050,0.000000000,1.997259617,14.340991020,0,0.000046246,0.001715967,-0.033244729
989,-0.000520706,-0.608532190,-2.362281799,1,1,1,-0.018085990,0.000000000,1.997711062,14.384085655,0,0.000046501,0.001563811,-0.033259779
990,-0.000494003,-0.609273195,-2.395282745,1,1,1,-0.018218439,0.000000000,1.998145700,14.426764488,0,0.000047613,0.001401244,-0.033274289
991,-0.000463486,-0.609682083,-2.428272247,1,1,1,-0.018342637,0.000000000,1.998554468,14.468747139,0,0.000048638,0.001228778,-0.033287935
992,-0.000429153,-0.609779358,-2.461223602,1,1,1,-0.018438209,0.000000000,1.998927236,14.509683609,0,0.000049237,0.001047111,-0.033300374
