tick,local_x,local_y,local_z,on_floor,bus_support,inside_hull,velocity_x,velocity_y,velocity_z,platform_speed,jump_command,walk_dx,walk_dy,walk_dz
139,-0.000013351,-0.599380136,-2.024032593,1,1,1,-0.000072707,0.000000000,1.999989510,6.809691906,0,0.000000817,0.000109099,-0.033332977
140,-0.000009537,-0.599382520,-2.056671143,1,1,1,-0.000068897,0.000000000,1.999989510,6.853637218,0,0.000000753,0.000109099,-0.033332977
141,-0.000011444,-0.599385142,-2.089309692,1,1,1,-0.000064652,0.000000000,1.999989510,6.898498058,0,0.000000682,0.000109099,-0.033332977
142,-0.000011444,-0.599387288,-2.121948242,1,1,1,-0.000067130,0.000000000,1.999989510,6.942443371,0,0.000000724,0.000109099,-0.033332977
143,-0.000009537,-0.599389851,-2.154586792,1,1,1,-0.000069927,0.000000000,1.999989510,6.986388683,0,0.000000770,0.000109099,-0.033332977
144,-0.000009537,-0.599391997,-2.187225342,1,1,1,-0.000064876,0.000000000,1.999989510,7.030333996,0,0.000000686,0.000109099,-0.033332977
145,-0.000009537,-0.599394441,-2.219863892,1,1,1,-0.000076765,0.000000000,1.999989510,7.074279308,0,0.000000884,0.000109099,-0.033332977
146,-0.000007629,-0.599396944,-2.252502441,1,1,1,-0.000071454,0.000000000,1.999989510,7.117309093,0,0.000000796,0.000109099,-0.033332977
147,-0.000007629,-0.599399328,-2.285140991,1,1,1,-0.000065220,0.000000000,1.999989510,7.161254406,0,0.000000692,0.000109099,-0.033332977
148,-0.000005722,-0.599401832,-2.317794800,1,1,1,-0.000069168,0.000000000,1.999989510,7.205199718,0,0.000000758,0.000109099,-0.033332977
149,-0.000005722,-0.599404097,-2.350433350,1,1,1,-0.000073945,0.000000000,1.999989510,7.248229504,0,0.000000837,0.000109099,-0.033332977
150,-0.000005722,-0.599406481,-2.383087158,1,1,1,-0.000065811,0.000000000,1.999989510,7.292174816,0,0.000000702,0.000109099,-0.033332977
151,-0.000003815,-0.599407792,-2.415725708,1,1,1,-0.000071412,0.000000000,1.999989510,7.335204601,0,0.000000795,0.000109112,-0.033332977
152,-0.000003815,-0.599411249,-2.448379517,1,1,1,-0.000060392,0.000000000,1.999989510,7.379149914,0,0.000000611,0.000109112,-0.033332977
153,-0.000003815,-0.599413931,-2.414367676,1,1,1,0.000022127,0.000000000,-1.999989510,7.422179699,0,0.000000026,-0.000109112,0.033332977
154,-0.000001907,-0.599416018,-2.380355835,1,1,1,0.000022115,0.000000000,-1.999989510,7.465209484,0,0.000000026,-0.000109112,0.033332977
155,-0.000003815,-0.599418640,-2.346343994,1,1,1,0.000022103,0.000000000,-1.999989510,7.508239269,0,0.000000027,-0.000109112,0.033332977
156,-0.000001907,-0.599420905,-2.312332153,1,1,1,0.000022092,0.000000000,-1.999989510,7.551269054,0,0.000000027,-0.000109112,0.033332977
157,-0.000001907,-0.599423170,-2.278320313,1,1,1,0.000022894,0.000000000,-1.999989510,7.594298840,0,0.000000013,-0.000109112,0.033332977
158,-0.000001907,-0.599425554,-2.244308472,1,1,1,0.000022888,0.000000000,-1.999989510,7.637328625,0,0.000000014,-0.000109112,0.033332977
159,-0.000001907,-0.599427938,-2.210311890,1,1,1,0.000022055,0.000000000,-1.999989510,7.680358410,0,0.000000027,-0.000109112,0.033332977
160,-0.000001907,-0.599430084,-2.176300049,1,1,1,0.000022875,0.000000000,-1.999989510,7.722472668,0,0.000000014,-0.000109112,0.033332977
161,0.000000000,-0.599432588,-2.142303467,1,1,1,0.000022869,0.000000000,-1.999989510,7.765502453,0,0.000000014,-0.000109112,0.033332977
162,0.000000000,-0.599434733,-2.108306885,1,1,1,0.000023708,0.000000000,-1.999989510,7.807616711,0,-0.000000000,-0.000109112,0.033332977
163,0.000000000,-0.599437177,-2.074310303,1,1,1,0.000023708,0.000000000,-1.999989510,7.850646496,0,-0.000000000,-0.000109112,0.033332977
164,0.000001907,-0.599439502,-2.040298462,1,1,1,0.000023708,0.000000000,-1.999989510,7.892760754,0,-0.000000000,-0.000109112,0.033332977
165,0.000000000,-0.599441886,-2.006301880,1,1,1,0.000023708,0.000000000,-1.999989510,7.935790539,0,-0.000000000,-0.000109112,0.033332977
166,0.000001907,-0.599443913,-1.972305298,1,1,1,0.000023708,0.000000000,-1.999989510,7.977904797,0,-0.000000000,-0.000109112,0.033332977
167,0.000001907,-0.599446416,-1.938308716,1,1,1,0.000024587,0.000000000,-1.999989510,8.020019531,0,-0.000000015,-0.000109112,0.033332977
168,0.000001907,-0.599448562,-1.904312134,1,1,1,0.000024595,0.000000000,-1.999989510,8.062133789,0,-0.000000015,-0.000109112,0.033332977
169,0.000003815,-0.599451065,-1.870300293,1,1,1,0.000024602,0.000000000,-1.999989510,8.104248047,0,-0.000000015,-0.000109112,0.033332977
170,0.000003815,-0.599453211,-1.836303711,1,1,1,0.000025510,0.000000000,-1.999989510,8.146362305,0,-0.000000030,-0.000109112,0.033332977
171,0.000001907,-0.599455476,-1.802307129,1,1,1,0.000024617,0.000000000,-1.999989510,8.188476563,0,-0.000000015,-0.000109112,0.033332977
172,0.000003815,-0.599457622,-1.768325806,1,1,1,0.000024624,0.000000000,-1.999989510,8.230590820,0,-0.000000015,-0.000109112,0.033332977
173,0.000003815,-0.599460125,-1.734329224,1,1,1,0.000025556,0.000000000,-1.999989510,8.271789551,0,-0.000000031,-0.000109112,0.033332977
174,0.000003815,-0.599462390,-1.700332642,1,1,1,0.000025571,0.000000000,-1.999989510,8.313903809,0,-0.000000031,-0.000109112,0.033332977
175,0.000005722,-0.599464655,-1.666351318,1,1,1,0.000025587,0.000000000,-1.999989510,8.356018066,0,-0.000000031,-0.000109112,0.033332977
176,0.000005722,-0.599466920,-1.632369995,1,1,1,0.000026551,0.000000000,-1.999989510,8.397216797,0,-0.000000047,-0.000109112,0.033332977
177,0.000005722,-0.599469066,-1.598373413,1,1,1,0.000026576,0.000000000,-1.999989510,8.438415527,0,-0.000000048,-0.000109112,0.033332977
178,0.000007629,-0.599471450,-1.564392090,1,1,1,0.000026601,0.000000000,-1.999989510,8.480529785,0,-0.000000048,-0.000109112,0.033332977
179,0.000005722,-0.599473715,-1.530410767,1,1,1,0.000026626,0.000000000,-1.999989510,8.521728516,0,-0.000000049,-0.000109112,0.033332977
180,0.000005722,-0.599475861,-1.496429443,1,1,1,0.000026652,0.000000000,-1.999989510,8.562927246,0,-0.000000049,-0.000109112,0.033332977
181,0.000007629,-0.599478245,-1.462448120,1,1,1,0.000026679,0.000000000,-1.999989510,8.604125977,0,-0.000000050,-0.000109112,0.033332977
182,0.000007629,-0.599480450,-1.428482056,1,1,1,0.000027705,0.000000000,-1.999989510,8.645324707,0,-0.000000067,-0.000109112,0.033332977
183,0.000007629,-0.599482656,-1.394500732,1,1,1,0.000027742,0.000000000,-1.999989510,8.686523438,0,-0.000000067,-0.000109112,0.033332977
184,0.000009537,-0.599484801,-1.360519409,1,1,1,0.000027779,0.000000000,-1.999989510,8.727722168,0,-0.000000068,-0.000109112,0.033332977
