tick,utc_us,local_x,local_y,local_z,slip_m,bus_support,bus_x,bus_y,bus_z,snapshots_received,source_s,playback_s,bus_write_m,inside_hull,cargo_contact,cargo_contact_previous_three,slip_eligible,push_active,cargo_history_complete
9486,1789625093891000,-0.122306824,-0.598897219,-0.149384499,0.025202380,1,-0.846040905,0.975566924,89.244644165,0,160.633333333,0.000000000,0.000000000,1,0,0,1,0,1
9487,1789625093909000,-0.116569519,-0.598899841,-0.124823570,0.025222130,1,-1.137970090,0.975594878,89.269844055,0,160.650000000,0.000000000,0.000000000,1,0,0,1,0,1
9488,1789625093925000,-0.110893250,-0.598902345,-0.100224495,0.025245486,1,-1.430331230,0.975623727,89.293922424,0,160.666666667,0.000000000,0.000000000,1,0,0,1,0,1
9489,1789625093941000,-0.105285645,-0.598904848,-0.075585365,0.025269190,1,-1.723119855,0.975653410,89.316894531,0,160.683333333,0.000000000,0.000000000,1,0,0,1,0,1
9490,1789625093958000,-0.099769592,-0.598907471,-0.050909996,0.025284396,1,-2.016331911,0.975684285,89.338760376,0,160.700000000,0.000000000,0.000000000,1,0,0,1,0,1
9491,1789625093975000,-0.094306946,-0.598910451,-0.026195526,0.025310976,1,-2.309962988,0.975716472,89.359550476,0,160.716666667,0.000000000,0.000000000,1,0,0,1,0,1
9492,1789625093992000,-0.087020874,-0.598912835,0.006064415,0.033072509,1,-2.604009628,0.975749969,89.379280090,0,160.733333333,0.000000000,0.000000000,1,0,0,1,0,1
9493,1789625094009000,-0.088180542,-0.598940611,0.006049156,0.001160101,1,-2.898467779,0.975784779,89.397941589,0,160.750000000,0.000000000,0.000000000,1,0,0,1,0,1
9494,1789625094025000,-0.087951660,-0.598917961,-0.027302742,0.033352692,1,-3.193334103,0.975820839,89.415573120,0,160.766666667,0.000000000,0.000000000,1,0,0,1,0,1
9495,1789625094041000,-0.087692261,-0.598920584,-0.060652733,0.033351000,1,-3.488604784,0.975858092,89.432174683,0,160.783333333,0.000000000,0.000000000,1,0,0,1,0,1
9496,1789625094059000,-0.087409973,-0.598922729,-0.094000816,0.033349279,1,-3.784276962,0.975896478,89.447753906,0,160.800000000,0.000000000,0.000000000,1,0,0,1,0,1
9497,1789625094076000,-0.087074280,-0.598924994,-0.127349854,0.033350728,1,-4.080347061,0.975935638,89.462326050,0,160.816666667,0.000000000,0.000000000,1,0,0,1,0,1
9498,1789625094092000,-0.086730957,-0.598927379,-0.160696030,0.033347946,1,-4.376811981,0.975975513,89.475898743,0,160.833333333,0.000000000,0.000000000,1,0,0,1,0,1
9499,1789625094108000,-0.086349487,-0.598929644,-0.194042206,0.033348359,1,-4.673667908,0.976016045,89.488494873,0,160.850000000,0.000000000,0.000000000,1,0,0,1,0,1
9500,1789625094126000,-0.085937500,-0.598932266,-0.227388382,0.033348721,1,-4.970912933,0.976056933,89.500114441,0,160.866666667,0.000000000,0.000000000,1,0,0,1,0,1
9501,1789625094141000,-0.085479736,-0.598934591,-0.260732651,0.033347409,1,-5.268543720,0.976097941,89.510780334,0,160.883333333,0.000000000,0.000000000,1,0,0,1,0,1
