tick,utc_us,local_x,local_y,local_z,slip_m,bus_support,bus_x,bus_y,bus_z,snapshots_received,source_s,playback_s,bus_write_m
14014,1789619143107000,-0.202774048,-0.598591089,-1.182098389,0.033434104,1,-68.019317627,0.968581498,57.883949280,0,236.116666667,0.000000000,0.000000000
14015,1789619143122000,-0.206748962,-0.598616123,-1.148895264,0.033440217,1,-68.104194641,0.969001770,57.555969238,0,236.133333333,0.000000000,0.000000000
14016,1789619143139000,-0.210594177,-0.598639488,-1.115684509,0.033432625,1,-68.187088013,0.969427228,57.227279663,0,236.150000000,0.000000000,0.000000000
14017,1789619143156000,-0.214309692,-0.598661900,-1.082469940,0.033421747,1,-68.268028259,0.969853878,56.897895813,0,236.166666667,0.000000000,0.000000000
14018,1789619143175000,-0.217887878,-0.598682165,-1.049240112,0.033421926,1,-68.347038269,0.970277905,56.567840576,0,236.183333333,0.000000000,0.000000000
14019,1789619143190000,-0.221305847,-0.598701000,-1.016006470,0.033408947,1,-68.424148560,0.970695913,56.237125397,0,236.200000000,0.000000000,0.000000000
14020,1789619143205000,-0.224586487,-0.598718643,-0.982761383,0.033406567,1,-68.499389648,0.971104503,55.905761719,0,236.216666667,0.000000000,0.000000000
14021,1789619143224000,-0.227706909,-0.598735332,-0.949512482,0.033395011,1,-68.572792053,0.971500933,55.573772430,0,236.233333333,0.000000000,0.000000000
14022,1789619143241000,-0.230705261,-0.598750591,-0.916259766,0.033387624,1,-68.644386292,0.971882582,55.241168976,0,236.250000000,0.000000000,0.000000000
14023,1789619143256000,-0.233505249,-0.598765135,-0.882995605,0.033381797,1,-68.714202881,0.972247422,54.907966614,0,236.266666667,0.000000000,0.000000000
14024,1789619143275000,-0.236114502,-0.598777056,-0.849727631,0.033370145,1,-68.782279968,0.972593546,54.574180603,0,236.283333333,0.000000000,0.000000000
14025,1789619143288000,-0.238548279,-0.598788738,-0.816452026,0.033364490,1,-68.848640442,0.972919762,54.239822388,0,236.300000000,0.000000000,0.000000000
14026,1789619143309000,-0.240776062,-0.598798990,-0.783176422,0.033350095,1,-68.913314819,0.973224938,53.904903412,0,236.316666667,0.000000000,0.000000000
14027,1789619143323000,-0.242774963,-0.598809004,-0.749889374,0.033347014,1,-68.976341248,0.973508358,53.569438934,0,236.333333333,0.000000000,0.000000000
14028,1789619143339000,-0.244506836,-0.598817587,-0.716598511,0.033335883,1,-69.037750244,0.973769963,53.233440399,0,236.350000000,0.000000000,0.000000000
14029,1789619143355000,-0.246208191,-0.598865151,-0.716629028,0.001702293,1,-69.097557068,0.974009514,52.896923065,0,236.366666667,0.000000000,0.000000000
14030,1789619143373000,-0.247871399,-0.598910689,-0.716648102,0.001663941,1,-69.155815125,0.974227548,52.559886932,0,236.383333333,0.000000000,0.000000000
14031,1789619143389000,-0.249496460,-0.598953962,-0.716670990,0.001625798,1,-69.212539673,0.974424481,52.222354889,0,236.400000000,0.000000000,0.000000000
14032,1789619143406000,-0.251098633,-0.598995805,-0.716697693,0.001602942,1,-69.267761230,0.974601269,51.884330750,0,236.416666667,0.000000000,0.000000000
14033,1789619143422000,-0.252670288,-0.599035978,-0.716705322,0.001572187,1,-69.321510315,0.974758744,51.545822144,0,236.433333333,0.000000000,0.000000000
14034,1789619143441000,-0.254219055,-0.599075317,-0.716728210,0.001549436,1,-69.373817444,0.974898219,51.206844330,0,236.450000000,0.000000000,0.000000000
14035,1789619143456000,-0.255737305,-0.599113703,-0.716747284,0.001518854,1,-69.424705505,0.975021005,50.867401123,0,236.466666667,0.000000000,0.000000000
14036,1789619143473000,-0.257202148,-0.599150062,-0.716762543,0.001465374,1,-69.474220276,0.975128293,50.527503967,0,236.483333333,0.000000000,0.000000000
14037,1789619143488000,-0.258666992,-0.599186063,-0.716781616,0.001465410,1,-69.522361755,0.975221753,50.187160492,0,236.500000000,0.000000000,0.000000000
14038,1789619143507000,-0.260101318,-0.599220991,-0.716789246,0.001434772,1,-69.569183350,0.975302696,49.846374512,0,236.516666667,0.000000000,0.000000000
14039,1789619143522000,-0.258621216,-0.599370837,-0.716812134,0.001487845,1,-69.614692688,0.975372851,49.505161285,0,236.533333333,0.000000000,0.000000000
14040,1789619143540000,-0.260009766,-0.599404454,-0.716823578,0.001389004,1,-69.658920288,0.975433469,49.163520813,0,236.550000000,0.000000000,0.000000000
14041,1789619143556000,-0.251449585,-0.598882556,-0.684726715,0.033222847,1,-69.701896667,0.975486040,48.821460724,0,236.566666667,0.000000000,0.000000000
14042,1789619143572000,-0.243759155,-0.598885655,-0.652603149,0.033031292,1,-69.743644714,0.975532055,48.478984833,0,236.583333333,0.000000000,0.000000000
14043,1789619143589000,-0.235870361,-0.598888874,-0.620529175,0.033029880,1,-69.784179688,0.975572586,48.136104584,0,236.600000000,0.000000000,0.000000000
14044,1789619143606000,-0.227745056,-0.598892808,-0.588520050,0.033024304,1,-69.823524475,0.975608945,47.792823792,0,236.616666667,0.000000000,0.000000000
14045,1789619143622000,-0.221595764,-0.598895788,-0.563713074,0.025557775,1,-69.861717224,0.975642264,47.449142456,0,236.633333333,0.000000000,0.000000000
14046,1789619143640000,-0.215515137,-0.598898888,-0.539478302,0.024985960,1,-69.898757935,0.975673437,47.105068207,0,236.650000000,0.000000000,0.000000000
14047,1789619143656000,-0.209327698,-0.598902106,-0.515174866,0.025078705,1,-69.934684753,0.975703359,46.760608673,0,236.666666667,0.000000000,0.000000000
14048,1789619143675000,-0.203033447,-0.598904967,-0.490814209,0.025160667,1,-69.969520569,0.975732803,46.415767670,0,236.683333333,0.000000000,0.000000000
14049,1789619143689000,-0.196723938,-0.598908067,-0.466430664,0.025186647,1,-70.003265381,0.975762308,46.070545197,0,236.700000000,0.000000000,0.000000000
14050,1789619143707000,-0.190406799,-0.598911047,-0.442024231,0.025210716,1,-70.035957336,0.975792527,45.724948883,0,236.716666667,0.000000000,0.000000000
14051,1789619143723000,-0.184120178,-0.598914564,-0.417575836,0.025243724,1,-70.067604065,0.975823760,45.378978729,0,236.733333333,0.000000000,0.000000000
14052,1789619143741000,-0.177856445,-0.598917246,-0.393093109,0.025271293,1,-70.098228455,0.975856423,45.032642365,0,236.750000000,0.000000000,0.000000000
14053,1789619143756000,-0.171615601,-0.598920107,-0.368579865,0.025295204,1,-70.127853394,0.975890517,44.685943604,0,236.766666667,0.000000000,0.000000000
14054,1789619143772000,-0.165443420,-0.598923445,-0.344009399,0.025333842,1,-70.156486511,0.975926399,44.338878632,0,236.783333333,0.000000000,0.000000000
14055,1789619143789000,-0.159301758,-0.598926485,-0.319393158,0.025370836,1,-70.184158325,0.975963950,43.991462708,0,236.800000000,0.000000000,0.000000000
14056,1789619143806000,-0.153198242,-0.598929107,-0.294731140,0.025406063,1,-70.210876465,0.976003170,43.643688202,0,236.816666667,0.000000000,0.000000000
14057,1789619143823000,-0.147193909,-0.598932266,-0.270019531,0.025430605,1,-70.236656189,0.976043940,43.295562744,0,236.833333333,0.000000000,0.000000000
14058,1789619143840000,-0.141212463,-0.598935068,-0.245258331,0.025473412,1,-70.261520386,0.976086199,42.947090149,0,236.850000000,0.000000000,0.000000000
14059,1789619143856000,-0.135299683,-0.598937333,-0.220447540,0.025505614,1,-70.285476685,0.976129651,42.598270416,0,236.866666667,0.000000000,0.000000000
14060,1789619143873000,-0.129425049,-0.598940134,-0.195587158,0.025545057,1,-70.308547974,0.976174116,42.249107361,0,236.883333333,0.000000000,0.000000000
14061,1789619143889000,-0.123634338,-0.598942816,-0.170681000,0.025570473,1,-70.330741882,0.976219416,41.899604797,0,236.900000000,0.000000000,0.000000000
14062,1789619143906000,-0.117897034,-0.598945618,-0.145729065,0.025603041,1,-70.352073669,0.976265311,41.549766541,0,236.916666667,0.000000000,0.000000000
14063,1789619143922000,-0.112205505,-0.598947644,-0.120716095,0.025652332,1,-70.372566223,0.976311326,41.199584961,0,236.933333333,0.000000000,0.000000000
14064,1789619143939000,-0.106590271,-0.598950207,-0.095668793,0.025669012,1,-70.392234802,0.976357460,40.849075317,0,236.950000000,0.000000000,0.000000000
14065,1789619143957000,-0.101028442,-0.598952711,-0.070587158,0.025690900,1,-70.411079407,0.976403236,40.498229980,0,236.966666667,0.000000000,0.000000000
14066,1789619143972000,-0.093833923,-0.598954976,-0.038223267,0.033153925,1,-70.429130554,0.976448596,40.147052765,0,236.983333333,0.000000000,0.000000000
14067,1789619143989000,-0.094657898,-0.598968267,-0.038223267,0.000824082,1,-70.446388245,0.976493239,39.795547485,0,237.000000000,0.000000000,0.000000000
14068,1789619144006000,-0.094085693,-0.598958731,-0.071559906,0.033341549,1,-70.462875366,0.976536930,39.443714142,0,237.016666667,0.000000000,0.000000000
14069,1789619144023000,-0.093460083,-0.598960698,-0.104900360,0.033346321,1,-70.478591919,0.976579428,39.091560364,0,237.033333333,0.000000000,0.000000000
14070,1789619144040000,-0.092826843,-0.598962426,-0.138229370,0.033335026,1,-70.493576050,0.976620674,38.739082336,0,237.050000000,0.000000000,0.000000000
14071,1789619144056000,-0.092155457,-0.598964155,-0.171566010,0.033343401,1,-70.507812500,0.976660490,38.386283875,0,237.066666667,0.000000000,0.000000000
14072,1789619144072000,-0.091453552,-0.598965883,-0.204902649,0.033344027,1,-70.521331787,0.976698756,38.033161163,0,237.083333333,0.000000000,0.000000000
14073,1789619144089000,-0.090721130,-0.598967254,-0.238235474,0.033340871,1,-70.534141541,0.976735353,37.679725647,0,237.100000000,0.000000000,0.000000000
14074,1789619144106000,-0.090003967,-0.598969042,-0.271572113,0.033344351,1,-70.546249390,0.976770282,37.325969696,0,237.116666667,0.000000000,0.000000000
14075,1789619144124000,-0.089241028,-0.598970294,-0.304904938,0.033341553,1,-70.557678223,0.976803482,36.971897125,0,237.133333333,0.000000000,0.000000000
14076,1789619144140000,-0.088447571,-0.598971725,-0.338241577,0.033346079,1,-70.568428040,0.976834893,36.617515564,0,237.150000000,0.000000000,0.000000000
14077,1789619144156000,-0.087615967,-0.598972976,-0.371578217,0.033347011,1,-70.578529358,0.976864576,36.262817383,0,237.166666667,0.000000000,0.000000000
14078,1789619144172000,-0.086776733,-0.598974228,-0.404911041,0.033343386,1,-70.587966919,0.976892471,35.907810211,0,237.183333333,0.000000000,0.000000000
14079,1789619144189000,-0.085899353,-0.598975062,-0.438240051,0.033340558,1,-70.596771240,0.976918697,35.552486420,0,237.200000000,0.000000000,0.000000000
14080,1789619144207000,-0.085006714,-0.598976552,-0.471569061,0.033340961,1,-70.604949951,0.976943314,35.196853638,0,237.216666667,0.000000000,0.000000000
14081,1789619144223000,-0.084098816,-0.598977864,-0.504901886,0.033345185,1,-70.612510681,0.976966321,34.840915680,0,237.233333333,0.000000000,0.000000000
14082,1789619144241000,-0.083168030,-0.598978579,-0.538230896,0.033342004,1,-70.619468689,0.976987839,34.484668732,0,237.250000000,0.000000000,0.000000000
14083,1789619144257000,-0.082199097,-0.598979831,-0.571559906,0.033343092,1,-70.625823975,0.977007926,34.128116608,0,237.266666667,0.000000000,0.000000000
14084,1789619144274000,-0.081222534,-0.598980725,-0.604890823,0.033345219,1,-70.631599426,0.977026701,33.771255493,0,237.283333333,0.000000000,0.000000000
14085,1789619144289000,-0.080207825,-0.598981738,-0.638219833,0.033344455,1,-70.636802673,0.977044225,33.414096832,0,237.300000000,0.000000000,0.000000000
14086,1789619144305000,-0.079185486,-0.598982334,-0.671545029,0.033340871,1,-70.641441345,0.977060616,33.056629181,0,237.316666667,0.000000000,0.000000000
14087,1789619144323000,-0.078147888,-0.598983169,-0.704872131,0.033343252,1,-70.645523071,0.977075934,32.698860168,0,237.333333333,0.000000000,0.000000000
14088,1789619144339000,-0.077095032,-0.598983943,-0.738203049,0.033347543,1,-70.649055481,0.977090240,32.340789795,0,237.350000000,0.000000000,0.000000000
14089,1789619144355000,-0.076004028,-0.598984718,-0.771526337,0.033341143,1,-70.652061462,0.977103829,31.982412338,0,237.366666667,0.000000000,0.000000000
14090,1789619144373000,-0.074897766,-0.598985374,-0.804853439,0.033345461,1,-70.654541016,0.977116585,31.623737335,0,237.383333333,0.000000000,0.000000000
14091,1789619144390000,-0.073768616,-0.598985970,-0.838178635,0.033344321,1,-70.656494141,0.977128625,31.264762878,0,237.400000000,0.000000000,0.000000000
14092,1789619144407000,-0.072616577,-0.598986983,-0.871500015,0.033341289,1,-70.657943726,0.977140129,30.905488968,0,237.416666667,0.000000000,0.000000000
14093,1789619144423000,-0.071449280,-0.598987520,-0.904821396,0.033341821,1,-70.658897400,0.977151036,30.545913696,0,237.433333333,0.000000000,0.000000000
14094,1789619144439000,-0.070251465,-0.598987997,-0.938142776,0.033342902,1,-70.659362793,0.977161467,30.186040878,0,237.450000000,0.000000000,0.000000000
14095,1789619144457000,-0.069046021,-0.598988891,-0.971466064,0.033345085,1,-70.659339905,0.977171481,29.825870514,0,237.466666667,0.000000000,0.000000000
14096,1789619144473000,-0.067810059,-0.598989427,-1.004789352,0.033346202,1,-70.658843994,0.977181196,29.465402603,0,237.483333333,0.000000000,0.000000000
14097,1789619144490000,-0.066558838,-0.598990023,-1.038106918,0.033341050,1,-70.657882690,0.977190614,29.104639053,0,237.500000000,0.000000000,0.000000000
14098,1789619144506000,-0.065299988,-0.598990500,-1.071426392,0.033343244,1,-70.656463623,0.977199614,28.743577957,0,237.516666667,0.000000000,0.000000000
14099,1789619144523000,-0.064018250,-0.598990977,-1.104743958,0.033342209,1,-70.654594421,0.977208495,28.382221222,0,237.533333333,0.000000000,0.000000000
14100,1789619144540000,-0.062713623,-0.598991513,-1.138067245,0.033348817,1,-70.652275085,0.977217138,28.020570755,0,237.550000000,0.000000000,0.000000000
14101,1789619144556000,-0.061386108,-0.598991871,-1.171388626,0.033347815,1,-70.649520874,0.977225542,27.658624649,0,237.566666667,0.000000000,0.000000000
14102,1789619144575000,-0.060035706,-0.598992407,-1.204700470,0.033339206,1,-70.646347046,0.977233827,27.296382904,0,237.583333333,0.000000000,0.000000000
14103,1789619144589000,-0.058654785,-0.598993003,-1.238019943,0.033348076,1,-70.642753601,0.977241933,26.933849335,0,237.600000000,0.000000000,0.000000000
14104,1789619144607000,-0.057273865,-0.598993242,-1.271333694,0.033342361,1,-70.638740540,0.977249980,26.571020126,0,237.616666667,0.000000000,0.000000000
14105,1789619144623000,-0.055877686,-0.598993778,-1.304649353,0.033344902,1,-70.634315491,0.977257729,26.207899094,0,237.633333333,0.000000000,0.000000000
14106,1789619144640000,-0.054443359,-0.598994076,-1.337963104,0.033344615,1,-70.629501343,0.977265418,25.844484329,0,237.650000000,0.000000000,0.000000000
14107,1789619144655000,-0.053016663,-0.598994732,-1.371274948,0.033342384,1,-70.624282837,0.977272987,25.480775833,0,237.666666667,0.000000000,0.000000000
14108,1789619144673000,-0.051544189,-0.598995268,-1.404590607,0.033348184,1,-70.618682861,0.977280378,25.116777420,0,237.683333333,0.000000000,0.000000000
14109,1789619144689000,-0.050071716,-0.598995745,-1.437904358,0.033346277,1,-70.612701416,0.977287650,24.752489090,0,237.700000000,0.000000000,0.000000000
14110,1789619144708000,-0.048568726,-0.598995686,-1.471214294,0.033343825,1,-70.606338501,0.977294743,24.387907028,0,237.716666667,0.000000000,0.000000000
14111,1789619144723000,-0.047027588,-0.598996162,-1.504526138,0.033347476,1,-70.599617004,0.977301657,24.023035049,0,237.733333333,0.000000000,0.000000000
14112,1789619144739000,-0.045486450,-0.598996520,-1.537836075,0.033345569,1,-70.592529297,0.977308452,23.657871246,0,237.750000000,0.000000000,0.000000000
14113,1789619144755000,-0.043907166,-0.598996937,-1.571144104,0.033345450,1,-70.585083008,0.977315068,23.292417526,0,237.766666667,0.000000000,0.000000000
14114,1789619144772000,-0.042335510,-0.598997116,-1.604446411,0.033339370,1,-70.577285767,0.977321506,22.926673889,0,237.783333333,0.000000000,0.000000000
14115,1789619144788000,-0.040740967,-0.598997593,-1.637754440,0.033346176,1,-70.569145203,0.977327824,22.560642242,0,237.800000000,0.000000000,0.000000000
14116,1789619144806000,-0.039115906,-0.598998010,-1.671062469,0.033347651,1,-70.560661316,0.977333903,22.194320679,0,237.816666667,0.000000000,0.000000000
14117,1789619144822000,-0.037475586,-0.598998249,-1.704366684,0.033344585,1,-70.551841736,0.977339745,21.827709198,0,237.833333333,0.000000000,0.000000000
14118,1789619144840000,-0.035812378,-0.598998189,-1.737672806,0.033347625,1,-70.542694092,0.977345407,21.460809708,0,237.850000000,0.000000000,0.000000000
