tick,utc_us,local_x,local_y,local_z,slip_m,bus_support,bus_x,bus_y,bus_z,snapshots_received,source_s,playback_s,bus_write_m
157,1789618912150000,0.078140259,-0.599412322,1.555274963,0.031940110,1,30.000000000,0.977494717,-85.204933167,154,5.133333333,5.100000000,0.124061584
158,1789618912167000,0.084043503,-0.599412441,1.522430420,0.033370830,1,30.000000000,0.977494717,-85.080871582,155,5.166666667,5.116666667,0.124061584
159,1789618912184000,0.089948654,-0.599416971,1.491035461,0.031945489,1,30.000000000,0.977494717,-84.955375671,155,5.166666667,5.133333333,0.125495911
160,1789618912200000,0.095846176,-0.599417090,1.458198547,0.033362310,1,30.000000000,0.977494717,-84.829879761,156,5.200000000,5.150000000,0.125495911
161,1789618912217000,0.101743698,-0.599421740,1.426795959,0.031951576,1,30.000000000,0.977494717,-84.702949524,156,5.200000000,5.166666667,0.126930237
162,1789618912234000,0.107631683,-0.599421680,1.393951416,0.033368133,1,30.000000000,0.977494717,-84.576019287,157,5.233333333,5.183333333,0.126930237
163,1789618912251000,0.113517761,-0.599426389,1.362541199,0.031956963,1,30.000000000,0.977494717,-84.447662354,157,5.233333333,5.200000000,0.128356934
164,1789618912266000,0.119396210,-0.599426448,1.329704285,0.033358943,1,30.000000000,0.977494717,-84.319305420,158,5.266666667,5.216666667,0.128356934
165,1789618912285000,0.125270844,-0.599431276,1.298286438,0.031962357,1,30.000000000,0.977494717,-84.189529419,158,5.266666667,5.233333333,0.129776001
166,1789618912302000,0.131135941,-0.599431217,1.265457153,0.033349082,1,30.000000000,0.977494717,-84.059745789,159,5.300000000,5.250000000,0.129783630
167,1789618912318000,0.137001038,-0.599435747,1.234039307,0.031960607,1,30.000000000,0.977494717,-83.928543091,159,5.300000000,5.266666667,0.131202698
168,1789618912335000,0.142852783,-0.599435687,1.201194763,0.033361759,1,30.000000000,0.977494717,-83.797348022,160,5.333333333,5.283333333,0.131195068
169,1789618912349000,0.148708344,-0.599440396,1.169761658,0.031973861,1,30.000000000,0.977494717,-83.664733887,160,5.333333333,5.300000000,0.132614136
170,1789618912367000,0.154544830,-0.599440336,1.136909485,0.033366598,1,30.000000000,0.977494717,-83.532127380,161,5.366666667,5.316666667,0.132606506
171,1789618912384000,0.160381317,-0.599444866,1.105476379,0.031970374,1,30.000000000,0.977494717,-83.398109436,161,5.366666667,5.333333333,0.134017944
172,1789618912400000,0.166206360,-0.599445045,1.072631836,0.033357084,1,30.000000000,0.977494717,-83.264091492,162,5.400000000,5.350000000,0.134017944
173,1789618912418000,0.172031403,-0.599449515,1.041191101,0.031975787,1,30.000000000,0.977494717,-83.128669739,162,5.400000000,5.366666667,0.135421753
174,1789618912435000,0.177835464,-0.599449575,1.008338928,0.033360939,1,30.000000000,0.977494717,-82.993247986,163,5.433333333,5.383333333,0.135421753
175,1789618912450000,0.183641434,-0.599454284,0.976882935,0.031987324,1,30.000000000,0.977494717,-82.856430054,163,5.433333333,5.400000000,0.136817932
176,1789618912466000,0.189426422,-0.599454284,0.944046021,0.033342600,1,30.000000000,0.977494776,-82.719604492,164,5.466666667,5.416666667,0.136825562
177,1789618912485000,0.195209503,-0.599458694,0.912582397,0.031990681,1,30.000000000,0.977494776,-82.581390381,164,5.466666667,5.433333333,0.138214111
178,1789618912501000,0.200969696,-0.599458814,0.879737854,0.033345822,1,30.000000000,0.977494776,-82.443168640,165,5.500000000,5.450000000,0.138221741
179,1789618912517000,0.206729889,-0.599463224,0.848266602,0.031994056,1,29.999998093,0.977494776,-82.303558350,165,5.500000000,5.466666667,0.139610291
