tick,local_x,local_y,local_z,drift_m,slip_m,on_floor,below_depth_m
2707,45.5915,-0.5238,-6.8552,46.1917,0.0667,1,0.0000
2708,45.4828,-0.5135,-7.1809,46.1380,0.3435,1,0.0000
2709,45.4828,-0.5136,-7.1142,46.1269,0.0667,1,0.0000
2710,45.3701,-0.5054,-7.4420,46.0716,0.3468,1,0.0000
2711,45.3701,-0.5055,-7.3754,46.0600,0.0667,1,0.0000
2712,45.2535,-0.4999,-7.7038,46.0031,0.3485,1,0.0000
2713,45.2535,-0.5001,-7.6371,45.9912,0.0667,1,0.0000
2714,45.1333,-0.4975,-7.9650,45.9327,0.3492,1,0.0000
2715,45.1333,-0.4976,-7.8983,45.9203,0.0667,1,0.0000
2716,45.0096,-0.4978,-8.2250,45.8603,0.3493,1,0.0000
2717,45.0096,-0.4980,-8.1583,45.8475,0.0667,1,0.0000
2718,44.8825,-0.5005,-8.4832,45.7859,0.3488,1,0.0000
2719,44.8825,-0.5006,-8.4165,45.7728,0.0667,1,0.0000
2720,44.7521,-0.5047,-8.7392,45.7095,0.3481,1,0.0000
2721,44.7521,-0.5049,-8.6726,45.6960,0.0667,1,0.0000
2722,44.6185,-0.5100,-8.9929,45.6312,0.3471,1,0.0000
2723,44.6185,-0.5101,-8.9263,45.6172,0.0667,1,0.0000
2724,44.4817,-0.5155,-9.2440,45.5508,0.3460,1,0.0000
2725,44.4817,-0.5157,-9.1773,45.5365,0.0667,1,0.0000
2726,44.3418,-0.5208,-9.4923,45.4685,0.3447,1,0.0000
2727,44.3418,-0.5209,-9.4257,45.4538,0.0667,1,0.0000
2728,44.1988,-0.5253,-9.7378,45.3841,0.3433,1,0.0000
2729,44.1988,-0.5254,-9.6711,45.3690,0.0667,1,0.0000
2730,44.0527,-0.5286,-9.9801,45.2977,0.3418,1,0.0000
2731,44.0527,-0.5287,-9.9135,45.2822,0.0667,1,0.0000
2732,43.9038,-0.5306,-10.2193,45.2093,0.3402,1,0.0000
2733,43.9037,-0.5307,-10.1527,45.1934,0.0667,1,0.0000
2734,43.7518,-0.5311,-10.4553,45.1188,0.3386,1,0.0000
2735,43.7518,-0.5312,-10.3886,45.1026,0.0667,1,0.0000
2736,43.5971,-0.5302,-10.6879,45.0264,0.3369,1,0.0000
2737,43.5971,-0.5303,-10.6212,45.0097,0.0667,1,0.0000
2738,43.4395,-0.5279,-10.9170,44.9318,0.3352,1,0.0000
2739,43.4395,-0.5281,-10.8504,44.9148,0.0667,1,0.0000
