tick,local_x,local_y,local_z,drift_m,slip_m,on_floor,below_depth_m
144,0.0000,-0.5994,-0.0522,0.6188,0.0666,1,0.0000
145,0.0000,-0.5994,0.0159,0.5507,0.0681,1,0.0000
146,0.0000,-0.5994,0.0825,0.4841,0.0666,1,0.0000
147,0.0000,-0.5994,0.1506,0.4160,0.0681,1,0.0000
148,0.0000,-0.5994,0.2172,0.3494,0.0666,1,0.0000
149,0.0000,-0.5994,0.2853,0.2813,0.0681,1,0.0000
150,0.0000,-0.5994,0.3519,0.2146,0.0666,1,0.0000
151,0.0000,-0.5994,0.4200,0.1466,0.0681,1,0.0000
152,0.0000,-0.5994,0.4867,0.0799,0.0666,1,0.0000
153,0.0000,-0.5994,0.5547,0.0119,0.0681,1,0.0000
154,0.0000,-0.5994,0.6214,0.0548,0.0666,1,0.0000
155,0.0000,-0.5994,0.6894,0.1228,0.0681,1,0.0000
156,0.0000,-0.5994,0.7561,0.1895,0.0666,1,0.0000
157,0.0000,-0.5994,0.8241,0.2576,0.0681,1,0.0000
158,0.0000,-0.5994,0.8908,0.3242,0.0666,1,0.0000
159,0.0000,-0.5994,0.9588,0.3922,0.0681,1,0.0000
160,0.0000,-0.5994,1.0255,0.4589,0.0666,1,0.0000
161,0.0000,-0.5994,1.0935,0.5269,0.0681,1,0.0000
162,0.0000,-0.5994,1.1602,0.5936,0.0666,1,0.0000
163,0.0000,-0.5994,1.2282,0.6616,0.0681,1,0.0000
164,0.0000,-0.5994,1.2949,0.7283,0.0666,1,0.0000
165,0.0000,-0.5995,1.3629,0.7963,0.0680,1,0.0000
166,0.0000,-0.5995,1.4295,0.8629,0.0666,1,0.0000
167,0.0000,-0.5995,1.4976,0.9310,0.0680,1,0.0000
168,0.0000,-0.5995,1.5642,0.9976,0.0666,1,0.0000
169,0.0000,-0.5995,1.6323,1.0657,0.0680,1,0.0000
170,0.0000,-0.5995,1.6989,1.1323,0.0666,1,0.0000
171,0.0000,-0.5995,1.7669,1.2003,0.0680,1,0.0000
172,0.0000,-0.5995,1.8336,1.2670,0.0666,1,0.0000
173,0.0000,-0.5995,1.9016,1.3350,0.0680,1,0.0000
174,0.0000,-0.5995,1.9682,1.4016,0.0666,1,0.0000
175,0.0000,-0.5995,2.0362,1.4697,0.0680,1,0.0000
176,0.0000,-0.5995,2.1029,1.5363,0.0666,1,0.0000
177,0.0000,-0.5995,2.1709,1.6043,0.0680,1,0.0000
178,0.0000,-0.5995,2.2375,1.6710,0.0666,1,0.0000
179,0.0000,-0.5995,2.3056,1.7390,0.0680,1,0.0000
180,0.0000,-0.5995,2.3722,1.8056,0.0666,1,0.0000
181,0.0000,-0.5995,2.4402,1.8736,0.0680,1,0.0000
182,0.0000,-0.5995,2.5068,1.9403,0.0666,1,0.0000
183,0.0000,-0.5995,2.4415,1.8749,0.0653,1,0.0000
184,0.0000,-0.5995,2.3748,1.8082,0.0667,1,0.0000
185,0.0000,-0.5995,2.3095,1.7429,0.0653,1,0.0000
186,0.0000,-0.5995,2.2428,1.6762,0.0667,1,0.0000
187,0.0000,-0.5995,2.1775,1.6109,0.0653,1,0.0000
188,0.0000,-0.5995,2.1108,1.5442,0.0667,1,0.0000
189,0.0000,-0.5995,2.0454,1.4788,0.0653,1,0.0000
190,0.0000,-0.5995,1.9787,1.4121,0.0667,1,0.0000
191,0.0000,-0.5995,1.9134,1.3468,0.0653,1,0.0000
192,0.0000,-0.5995,1.8467,1.2801,0.0667,1,0.0000
193,0.0000,-0.5995,1.7814,1.2148,0.0653,1,0.0000
194,0.0000,-0.5995,1.7147,1.1481,0.0667,1,0.0000
