tick,local_x,local_y,local_z,drift_m,slip_m,on_floor,below_depth_m
2700,-0.3162,-0.5995,-0.1098,0.7467,0.0703,1,0.0000
2701,-0.2869,-0.5990,-0.3076,0.9201,0.1999,1,0.0000
2702,-0.3175,-0.5995,-0.2418,0.8685,0.0725,1,0.0000
2703,-0.2865,-0.5990,-0.4413,1.0478,0.2019,1,0.0000
2704,-0.3188,-0.5996,-0.3738,0.9929,0.0749,1,0.0000
2705,-0.2861,-0.5990,-0.5750,1.1768,0.2038,1,0.0000
2706,-0.3203,-0.5996,-0.5058,1.1192,0.0772,1,0.0000
2707,-0.2857,-0.5990,-0.7087,1.3069,0.2058,1,0.0000
2708,-0.3218,-0.5996,-0.6378,1.2466,0.0796,1,0.0000
2709,-0.2854,-0.5990,-0.8424,1.4376,0.2079,1,0.0000
2710,-0.3233,-0.5997,-0.7698,1.3749,0.0820,1,0.0000
2711,-0.2851,-0.5990,-0.9761,1.5688,0.2099,1,0.0000
2712,-0.3248,-0.5997,-0.9017,1.5038,0.0843,1,0.0000
2713,-0.2849,-0.5990,-1.1099,1.7005,0.2120,1,0.0000
2714,-0.3264,-0.5997,-1.0337,1.6332,0.0867,1,0.0000
2715,-0.2850,-0.5990,-1.2437,1.8326,0.2140,1,0.0000
2716,-0.3281,-0.5997,-1.1657,1.7631,0.0892,1,0.0000
2717,-0.2866,-0.5990,-1.3775,1.9651,0.2158,1,0.0000
2718,-0.3315,-0.5997,-1.2976,1.8934,0.0916,1,0.0000
2719,-0.2883,-0.5990,-1.5113,2.0978,0.2180,1,0.0000
2720,-0.3348,-0.5997,-1.4295,2.0240,0.0940,1,0.0000
2721,-0.2900,-0.5990,-1.6451,2.2306,0.2201,1,0.0000
2722,-0.3381,-0.5997,-1.5615,2.1548,0.0964,1,0.0000
2723,-0.2918,-0.5990,-1.7789,2.3635,0.2223,1,0.0000
2724,-0.3415,-0.5997,-1.6934,2.2856,0.0989,1,0.0000
2725,-0.2935,-0.5990,-1.9127,2.4966,0.2245,1,0.0000
2726,-0.3448,-0.5997,-1.8253,2.4167,0.1013,1,0.0000
2727,-0.2953,-0.5990,-2.0465,2.6298,0.2267,1,0.0000
2728,-0.3482,-0.5997,-1.9573,2.5478,0.1038,1,0.0000
2729,-0.2971,-0.5990,-2.1804,2.7630,0.2289,1,0.0000
2730,-0.3516,-0.5998,-2.0892,2.6790,0.1062,1,0.0000
2731,-0.2990,-0.5990,-2.3142,2.8963,0.2311,1,0.0000
2732,-0.3550,-0.5998,-2.2212,2.8103,0.1087,1,0.0000
2733,-0.3008,-0.5990,-2.4481,3.0297,0.2333,1,0.0000
2734,-0.3585,-0.5998,-2.3531,2.9416,0.1111,1,0.0000
2735,-0.3027,-0.5990,-2.5820,3.1631,0.2356,1,0.0000
2736,-0.3603,-0.5998,-2.3517,2.9405,0.2374,1,0.0000
2737,-0.3046,-0.5990,-2.4492,3.0311,0.1123,1,0.0000
2738,-0.3606,-0.5998,-2.2170,2.8069,0.2388,1,0.0000
2739,-0.3066,-0.5990,-2.3164,2.8992,0.1131,1,0.0000
2740,-0.3609,-0.5998,-2.0823,2.6733,0.2403,1,0.0000
2741,-0.3085,-0.5990,-2.1836,2.7674,0.1140,1,0.0000
2742,-0.3612,-0.5998,-1.9476,2.5400,0.2418,1,0.0000
2743,-0.3105,-0.5990,-2.0508,2.6357,0.1150,1,0.0000
2744,-0.3615,-0.5999,-1.8128,2.4067,0.2434,1,0.0000
2745,-0.3125,-0.5990,-1.9179,2.5041,0.1160,1,0.0000
2746,-0.3619,-0.5999,-1.6780,2.2736,0.2449,1,0.0000
2747,-0.3146,-0.5990,-1.7851,2.3726,0.1170,1,0.0000
2748,-0.3622,-0.5999,-1.5433,2.1407,0.2465,1,0.0000
2749,-0.3166,-0.5990,-1.6522,2.2413,0.1181,1,0.0000
2750,-0.3626,-0.5999,-1.4085,2.0081,0.2481,1,0.0000
2751,-0.3187,-0.5990,-1.5194,2.1102,0.1193,1,0.0000
2752,-0.3630,-0.5999,-1.2737,1.8757,0.2497,1,0.0000
2753,-0.3208,-0.5990,-1.3865,1.9793,0.1205,1,0.0000
2754,-0.3591,-0.5998,-1.1411,1.7451,0.2483,1,0.0000
2755,-0.2907,-0.5990,-1.2694,1.8588,0.1453,1,0.0000
2756,-0.3222,-0.5998,-1.0221,1.6210,0.2493,1,0.0000
2757,-0.2832,-0.5990,-1.1383,1.7282,0.1226,1,0.0000
2758,-0.3227,-0.5998,-0.8872,1.4892,0.2542,1,0.0000
2759,-0.2834,-0.5990,-1.0054,1.5973,0.1245,1,0.0000
2760,-0.3212,-0.5998,-0.7524,1.3575,0.2558,1,0.0000
2761,-0.2832,-0.5990,-0.8725,1.4667,0.1260,1,0.0000
2762,-0.3193,-0.5998,-0.6176,1.2264,0.2575,1,0.0000
2763,-0.2830,-0.5990,-0.7396,1.3365,0.1273,1,0.0000
2764,-0.3174,-0.5998,-0.4827,1.0962,0.2592,1,0.0000
2765,-0.2828,-0.5990,-0.6066,1.2068,0.1287,1,0.0000
2766,-0.3156,-0.5998,-0.3478,0.9673,0.2609,1,0.0000
2767,-0.2826,-0.5990,-0.4737,1.0780,0.1301,1,0.0000
2768,-0.3137,-0.5998,-0.2129,0.8403,0.2626,1,0.0000
2769,-0.2825,-0.5990,-0.3407,0.9503,0.1316,1,0.0000
2770,-0.3119,-0.5998,-0.0781,0.7161,0.2643,1,0.0000
2771,-0.2823,-0.5990,-0.2078,0.8242,0.1331,1,0.0000
2772,-0.3100,-0.5998,0.0568,0.5966,0.2661,1,0.0000
2773,-0.2821,-0.5990,-0.0748,0.7007,0.1346,1,0.0000
2774,-0.3082,-0.5997,0.1918,0.4853,0.2678,1,0.0000
2775,-0.2820,-0.5990,0.0582,0.5814,0.1361,1,0.0000
2776,-0.3063,-0.5997,0.3267,0.3891,0.2696,1,0.0000
2777,-0.2818,-0.5990,0.1912,0.4694,0.1377,1,0.0000
2778,-0.3045,-0.5997,0.4616,0.3221,0.2714,1,0.0000
2779,-0.2817,-0.5990,0.3242,0.3716,0.1393,1,0.0000
2780,-0.3027,-0.5997,0.5966,0.3041,0.2732,1,0.0000
2781,-0.2815,-0.5990,0.4572,0.3020,0.1410,1,0.0000
2782,-0.3008,-0.5997,0.7315,0.3431,0.2750,1,0.0000
2783,-0.2813,-0.5990,0.5902,0.2823,0.1426,1,0.0000
2784,-0.2989,-0.5997,0.8665,0.4234,0.2768,1,0.0000
2785,-0.2811,-0.5990,0.7233,0.3218,0.1443,1,0.0000
2786,-0.2971,-0.5997,1.0014,0.5266,0.2787,1,0.0000
2787,-0.2809,-0.5990,0.8563,0.4035,0.1461,1,0.0000
2788,-0.2952,-0.5997,1.1364,0.6417,0.2805,1,0.0000
2789,-0.2807,-0.5990,0.9894,0.5074,0.1478,1,0.0000
2790,-0.2933,-0.5996,1.2714,0.7634,0.2823,1,0.0000
2791,-0.2804,-0.5990,1.1224,0.6226,0.1495,1,0.0000
2792,-0.2914,-0.5996,1.4064,0.8889,0.2842,1,0.0000
2793,-0.2811,-0.5990,1.2556,0.7442,0.1511,1,0.0000
2794,-0.2904,-0.5996,1.5415,1.0173,0.2861,1,0.0000
2795,-0.2837,-0.5990,1.3887,0.8697,0.1530,1,0.0000
2796,-0.2913,-0.5996,1.6765,1.1476,0.2879,1,0.0000
2797,-0.2864,-0.5990,1.5218,0.9972,0.1548,1,0.0000
2798,-0.2923,-0.5996,1.8116,1.2788,0.2899,1,0.0000
2799,-0.2891,-0.5990,1.6549,1.1261,0.1567,1,0.0000
2800,-0.2932,-0.5996,1.9466,1.4109,0.2918,1,0.0000
2801,-0.2918,-0.5990,1.7880,1.2558,0.1586,1,0.0000
2802,-0.2942,-0.5995,2.0817,1.5434,0.2937,1,0.0000
2803,-0.2945,-0.5990,1.9211,1.3862,0.1605,1,0.0000
2804,-0.2952,-0.5995,2.2167,1.6763,0.2956,1,0.0000
2805,-0.2973,-0.5990,2.0543,1.5171,0.1625,1,0.0000
2806,-0.2963,-0.5995,2.3518,1.8096,0.2975,1,0.0000
2807,-0.3001,-0.5990,2.1874,1.6484,0.1644,1,0.0000
2808,-0.2896,-0.5994,2.4844,1.9396,0.2972,1,0.0000
2809,-0.2802,-0.5989,2.3152,1.7709,0.1695,1,0.0000
2810,-0.2756,-0.5994,2.6162,2.0680,0.3010,1,0.0000
2811,-0.2830,-0.5990,2.3150,1.7712,0.3013,1,0.0000
2812,-0.2801,-0.5995,2.4846,1.9383,0.1696,1,0.0000
2813,-0.2860,-0.5990,2.1815,1.6400,0.3031,1,0.0000
2814,-0.2847,-0.5995,2.3529,1.8089,0.1715,1,0.0000
2815,-0.2889,-0.5990,2.0480,1.5093,0.3050,1,0.0000
2816,-0.2894,-0.5995,2.2214,1.6799,0.1735,1,0.0000
2817,-0.2919,-0.5990,1.9144,1.3791,0.3070,1,0.0000
2818,-0.2939,-0.5995,2.0902,1.5517,0.1758,1,0.0000
2819,-0.2946,-0.5990,1.7809,1.2496,0.3093,1,0.0000
2820,-0.2981,-0.5995,1.9590,1.4239,0.1781,1,0.0000
2821,-0.2973,-0.5990,1.6474,1.1210,0.3116,1,0.0000
2822,-0.3019,-0.5994,1.8277,1.2968,0.1804,1,0.0000
2823,-0.2999,-0.5990,1.5139,0.9936,0.3138,1,0.0000
2824,-0.3057,-0.5995,1.6964,1.1704,0.1826,1,0.0000
2825,-0.3024,-0.5990,1.3804,0.8682,0.3161,1,0.0000
2826,-0.3094,-0.5995,1.5651,1.0453,0.1848,1,0.0000
2827,-0.2877,-0.5987,1.2533,0.7445,0.3126,1,0.0000
2828,-0.2887,-0.5993,1.4409,0.9208,0.1877,1,0.0000
2829,-0.2831,-0.5990,1.1208,0.6223,0.3202,1,0.0000
2830,-0.2923,-0.5996,1.3096,0.7985,0.1890,1,0.0000
2831,-0.2850,-0.5990,0.9873,0.5081,0.3224,1,0.0000
2832,-0.2954,-0.5997,1.1783,0.6792,0.1913,1,0.0000
2833,-0.2853,-0.5990,0.8537,0.4048,0.3247,1,0.0000
2834,-0.2969,-0.5998,1.0469,0.5646,0.1935,1,0.0000
2835,-0.2854,-0.5990,0.7202,0.3241,0.3269,1,0.0000
2836,-0.2981,-0.5998,0.9155,0.4589,0.1957,1,0.0000
2837,-0.2852,-0.5990,0.5867,0.2859,0.3291,1,0.0000
2838,-0.2990,-0.5999,0.7841,0.3698,0.1979,1,0.0000
2839,-0.2847,-0.5990,0.4531,0.3065,0.3313,1,0.0000
2840,-0.2998,-0.5999,0.6527,0.3119,0.2001,1,0.0000
2841,-0.2841,-0.5990,0.3196,0.3765,0.3334,1,0.0000
2842,-0.3003,-0.6000,0.5213,0.3037,0.2023,1,0.0000
2843,-0.2834,-0.5990,0.1861,0.4745,0.3356,1,0.0000
2844,-0.3008,-0.6000,0.3899,0.3489,0.2045,1,0.0000
2845,-0.2827,-0.5990,0.0525,0.5867,0.3378,1,0.0000
2846,-0.3012,-0.6000,0.2584,0.4309,0.2068,1,0.0000
2847,-0.2820,-0.5990,-0.0810,0.7064,0.3400,1,0.0000
2848,-0.3016,-0.6001,0.1270,0.5331,0.2090,1,0.0001
2849,-0.2813,-0.5990,-0.2146,0.8303,0.3422,1,0.0000
2850,-0.3021,-0.6001,-0.0044,0.6460,0.2112,1,0.0001
2851,-0.2807,-0.5990,-0.3482,0.9568,0.3444,1,0.0000
2852,-0.3026,-0.6001,-0.1359,0.7649,0.2134,1,0.0001
2853,-0.2802,-0.5990,-0.4817,1.0851,0.3466,1,0.0000
2854,-0.3033,-0.6001,-0.2673,0.8874,0.2156,1,0.0001
2855,-0.2797,-0.5990,-0.6153,1.2145,0.3488,1,0.0000
2856,-0.3040,-0.6001,-0.3988,1.0121,0.2179,1,0.0001
2857,-0.2794,-0.5990,-0.7489,1.3448,0.3509,1,0.0000
2858,-0.3048,-0.6001,-0.5303,1.1384,0.2201,1,0.0001
2859,-0.2791,-0.5990,-0.8825,1.4757,0.3531,1,0.0000
2860,-0.3057,-0.6001,-0.6617,1.2658,0.2223,1,0.0001
2861,-0.2789,-0.5990,-1.0161,1.6070,0.3553,1,0.0000
2862,-0.3068,-0.6001,-0.7932,1.3940,0.2246,1,0.0001
2863,-0.2788,-0.5990,-1.1496,1.7387,0.3575,1,0.0000
2864,-0.3079,-0.6002,-0.9247,1.5228,0.2268,1,0.0002
2865,-0.2815,-0.5990,-1.2832,1.8711,0.3595,1,0.0000
2866,-0.3118,-0.6002,-1.0562,1.6525,0.2290,1,0.0002
2867,-0.2842,-0.5990,-1.4168,2.0037,0.3617,1,0.0000
2868,-0.3158,-0.6002,-1.1877,1.7825,0.2313,1,0.0002
2869,-0.2870,-0.5990,-1.5505,2.1364,0.3639,1,0.0000
2870,-0.3198,-0.6002,-1.3192,1.9127,0.2336,1,0.0002
2871,-0.2898,-0.5990,-1.6841,2.2692,0.3661,1,0.0000
2872,-0.3239,-0.6003,-1.4507,2.0432,0.2358,1,0.0003
2873,-0.2926,-0.5990,-1.8177,2.4022,0.3683,1,0.0000
2874,-0.3281,-0.6003,-1.5823,2.1737,0.2381,1,0.0003
2875,-0.2954,-0.5990,-1.9513,2.5352,0.3705,1,0.0000
2876,-0.3323,-0.6003,-1.7138,2.3045,0.2404,1,0.0003
2877,-0.2983,-0.5990,-2.0850,2.6683,0.3727,1,0.0000
2878,-0.3367,-0.6004,-1.8454,2.4354,0.2426,1,0.0004
2879,-0.3012,-0.5990,-2.2186,2.8014,0.3749,1,0.0000
2880,-0.3411,-0.6004,-1.9770,2.5663,0.2449,1,0.0004
2881,-0.3042,-0.5990,-2.3523,2.9347,0.3771,1,0.0000
2882,-0.3456,-0.6005,-2.1086,2.6974,0.2472,1,0.0005
2883,-0.3072,-0.5990,-2.4859,3.0679,0.3793,1,0.0000
